"Date","epiweek","Year","Week","uf","uf_name","Cases","train_1","target_1","train_2","target_2","train_3","target_3"
2010-01-03,201001,2010,1,"AC","Acre",760,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"AL","Alagoas",73,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"AM","Amazonas",155,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"AP","Amapá",34,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"BA","Bahia",539,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"CE","Ceará",138,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"DF","Distrito Federal",107,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"ES","Espírito Santo",164,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"GO","Goiás",5163,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"MA","Maranhão",13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"MG","Minas Gerais",2124,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"MS","Mato Grosso do Sul",1859,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"MT","Mato Grosso",3563,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"PA","Pará",115,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"PB","Paraíba",11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"PE","Pernambuco",64,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"PI","Piauí",59,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"PR","Paraná",110,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"RJ","Rio de Janeiro",289,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"RN","Rio Grande do Norte",19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"RO","Rondônia",2456,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"RR","Roraima",25,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"RS","Rio Grande do Sul",12,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"SC","Santa Catarina",10,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"SE","Sergipe",3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"SP","São Paulo",1628,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-03,201001,2010,1,"TO","Tocantins",231,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"AC","Acre",896,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"AL","Alagoas",98,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"AM","Amazonas",162,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"AP","Amapá",58,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"BA","Bahia",564,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"CE","Ceará",173,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"DF","Distrito Federal",219,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"ES","Espírito Santo",206,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"GO","Goiás",6473,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"MA","Maranhão",27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"MG","Minas Gerais",2826,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"MS","Mato Grosso do Sul",2406,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"MT","Mato Grosso",3578,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"PA","Pará",173,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"PB","Paraíba",20,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"PE","Pernambuco",72,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"PI","Piauí",52,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"PR","Paraná",135,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"RJ","Rio de Janeiro",316,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"RN","Rio Grande do Norte",27,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"RO","Rondônia",2404,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"RR","Roraima",29,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"RS","Rio Grande do Sul",13,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"SC","Santa Catarina",15,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"SE","Sergipe",7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"SP","São Paulo",2461,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-10,201002,2010,2,"TO","Tocantins",278,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"AC","Acre",892,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"AL","Alagoas",146,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"AM","Amazonas",60,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"AP","Amapá",33,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"BA","Bahia",623,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"CE","Ceará",222,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"DF","Distrito Federal",284,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"ES","Espírito Santo",211,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"GO","Goiás",6703,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"MA","Maranhão",35,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"MG","Minas Gerais",3705,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"MS","Mato Grosso do Sul",3031,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2010-01-17,201003,2010,3,"MT","Mato Grosso",3470,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
